variant,problem,run,fitness
V3-AggressiveSeed,prob3,2,28,285560
V3-AggressiveSeed,prob3,3,28,308969
V3-AggressiveSeed,prob3,4,28,590259
V3-AggressiveSeed,prob3,5,29,231601
V3-AggressiveSeed,prob3,6,29,381045
V3-AggressiveSeed,prob3,7,28,609987
V3-AggressiveSeed,prob3,8,29,140225
V3-AggressiveSeed,prob3,9,29,372804
V3-AggressiveSeed,prob3,10,29,485985
V3-AggressiveSeed,prob4,1,3360,363962
V3-AggressiveSeed,prob4,2,3013,265664
V3-AggressiveSeed,prob4,3,94,262000
V3-AggressiveSeed,prob4,4,1468,710346
V3-AggressiveSeed,prob4,5,93,591868
V3-AggressiveSeed,prob4,6,3042,606094
V3-AggressiveSeed,prob4,7,94,800800
V3-AggressiveSeed,prob4,8,94,369653
V3-AggressiveSeed,prob4,9,2955,337136
V3-AggressiveSeed,prob4,10,94,099618
