psoRatio,margin,problem,run,fitness
0,00,10,0,prob1,1,37,366333
0,00,10,0,prob1,2,36,434600
0,00,10,0,prob1,3,36,435205
0,00,10,0,prob2,1,31,422782
0,00,10,0,prob2,2,31,421199
0,00,10,0,prob2,3,31,421656
0,00,10,0,prob3,1,28,290183
0,00,10,0,prob3,2,29,768660
0,00,10,0,prob3,3,28,766626
0,00,10,0,prob4,1,1473,291551
0,00,10,0,prob4,2,1468,804994
0,00,10,0,prob4,3,3168,681307
0,00,12,0,prob1,1,36,351591
0,00,12,0,prob1,2,36,354257
0,00,12,0,prob1,3,37,364362
0,00,12,0,prob2,1,31,421369
0,00,12,0,prob2,2,31,421359
0,00,12,0,prob2,3,31,421277
0,00,12,0,prob3,1,28,281888
0,00,12,0,prob3,2,28,412880
0,00,12,0,prob3,3,28,475761
0,00,12,0,prob4,1,1430,017586
0,00,12,0,prob4,2,3167,115269
0,00,12,0,prob4,3,3092,213816
0,00,15,0,prob1,1,37,472619
0,00,15,0,prob1,2,37,374708
0,00,15,0,prob1,3,37,389148
0,00,15,0,prob2,1,31,423348
0,00,15,0,prob2,2,31,421456
0,00,15,0,prob2,3,31,421208
0,00,15,0,prob3,1,31,184724
0,00,15,0,prob3,2,29,835589
0,00,15,0,prob3,3,28,499101
0,00,15,0,prob4,1,4652,300845
0,00,15,0,prob4,2,94,593777
0,00,15,0,prob4,3,94,223804
0,10,10,0,prob1,1,37,391972
0,10,10,0,prob1,2,37,398180
0,10,10,0,prob1,3,36,368884
0,10,10,0,prob2,1,31,420886
0,10,10,0,prob2,2,31,421215
0,10,10,0,prob2,3,31,424422
0,10,10,0,prob3,1,28,647913
0,10,10,0,prob3,2,28,268946
0,10,10,0,prob3,3,29,416574
0,10,10,0,prob4,1,3780,229410
0,10,10,0,prob4,2,2353,163156
0,10,10,0,prob4,3,3224,548225
0,10,12,0,prob1,1,37,488937
0,10,12,0,prob1,2,36,445302
0,10,12,0,prob1,3,37,544926
0,10,12,0,prob2,1,31,421345
0,10,12,0,prob2,2,31,421179
0,10,12,0,prob2,3,31,423170
0,10,12,0,prob3,1,28,274623
0,10,12,0,prob3,2,30,086388
0,10,12,0,prob3,3,29,314833
0,10,12,0,prob4,1,3605,701531
0,10,12,0,prob4,2,3893,195168
0,10,12,0,prob4,3,4346,805753
0,10,15,0,prob1,1,37,493735
0,10,15,0,prob1,2,36,394077
0,10,15,0,prob1,3,36,346956
0,10,15,0,prob2,1,31,420981
0,10,15,0,prob2,2,31,424313
0,10,15,0,prob2,3,31,433404
0,10,15,0,prob3,1,30,069163
0,10,15,0,prob3,2,28,451247
0,10,15,0,prob3,3,29,473767
0,10,15,0,prob4,1,2787,365509
0,10,15,0,prob4,2,94,249673
0,10,15,0,prob4,3,94,565444
0,20,10,0,prob1,1,36,351806
0,20,10,0,prob1,2,37,447162
0,20,10,0,prob1,3,36,364937
0,20,10,0,prob2,1,31,425656
0,20,10,0,prob2,2,31,421680
0,20,10,0,prob2,3,31,421350
0,20,10,0,prob3,1,29,790804
0,20,10,0,prob3,2,29,576504
0,20,10,0,prob3,3,28,417634
0,20,10,0,prob4,1,1408,262885
0,20,10,0,prob4,2,3760,883946
0,20,10,0,prob4,3,3225,236088
0,20,12,0,prob1,1,36,346568
0,20,12,0,prob1,2,36,350539
0,20,12,0,prob1,3,36,437072
0,20,12,0,prob2,1,31,423215
0,20,12,0,prob2,2,31,426677
0,20,12,0,prob2,3,31,440249
0,20,12,0,prob3,1,28,996460
0,20,12,0,prob3,2,32,086953
0,20,12,0,prob3,3,32,478794
0,20,12,0,prob4,1,4196,567489
0,20,12,0,prob4,2,3337,981829
0,20,12,0,prob4,3,2678,654658
0,20,15,0,prob1,1,36,501887
0,20,15,0,prob1,2,37,398005
0,20,15,0,prob1,3,37,362787
0,20,15,0,prob2,1,31,421225
0,20,15,0,prob2,2,31,421009
0,20,15,0,prob2,3,31,421296
0,20,15,0,prob3,1,29,919229
0,20,15,0,prob3,2,29,541563
0,20,15,0,prob3,3,30,931318
0,20,15,0,prob4,1,93,889895
0,20,15,0,prob4,2,94,100762
0,20,15,0,prob4,3,94,627712
0,30,10,0,prob1,1,36,353227
0,30,10,0,prob1,2,36,386994
0,30,10,0,prob1,3,37,413249
0,30,10,0,prob2,1,31,421432
0,30,10,0,prob2,2,31,421369
0,30,10,0,prob2,3,31,421371
0,30,10,0,prob3,1,32,920293
0,30,10,0,prob3,2,30,485773
0,30,10,0,prob3,3,35,455674
0,30,10,0,prob4,1,3148,580399
0,30,10,0,prob4,2,3238,103198
0,30,10,0,prob4,3,4252,190978
0,30,15,0,prob1,1,36,368025
0,30,15,0,prob1,2,37,500134
0,30,15,0,prob1,3,37,423925
0,30,15,0,prob2,1,31,421355
0,30,15,0,prob2,2,31,421389
0,30,15,0,prob2,3,31,421645
0,30,15,0,prob3,1,30,484642
0,30,15,0,prob3,2,31,544571
0,30,15,0,prob3,3,28,518486
0,30,15,0,prob4,1,93,689030
0,30,15,0,prob4,2,93,942312
0,30,15,0,prob4,3,1400,311988
