Strategy,Problem,Run,Score
T14_TimePhasedFocus,prob1,4,36.42467252332655
T14_TimePhasedFocus,prob1,4,36.37096560096768
T14_TimePhasedFocus,prob1,5,37.57888213721484
T14_TimePhasedFocus,prob1,5,36.65591624280459
T14_TimePhasedFocus,prob1,6,36.37675656042469
T14_TimePhasedFocus,prob1,6,36.436729127994695
T14_TimePhasedFocus,prob1,7,36.430822767137315
T14_TimePhasedFocus,prob1,7,36.36918133878601
T14_TimePhasedFocus,prob1,8,37.41054515604017
T14_TimePhasedFocus,prob1,8,36.53970116018479
T14_TimePhasedFocus,prob1,8,36.43935929260021
T14_TimePhasedFocus,prob1,9,36.400117270324166
T14_TimePhasedFocus,prob1,9,36.672211509366875
T14_TimePhasedFocus,prob1,9,37.456506644211764
T14_TimePhasedFocus,prob1,10,36.374672104257534
T14_TimePhasedFocus,prob1,10,36.48731977645211
T14_TimePhasedFocus,prob1,10,37.53951063966408
T14_TimePhasedFocus,prob2,1,31.42134698045946
T14_TimePhasedFocus,prob2,1,31.421362110860976
T14_TimePhasedFocus,prob2,1,31.421049297186432
T14_TimePhasedFocus,prob2,2,31.42135296842704
T14_TimePhasedFocus,prob2,2,31.422158109067013
T14_TimePhasedFocus,prob2,2,31.42108192257586
T14_TimePhasedFocus,prob2,3,31.421255764282954
T14_TimePhasedFocus,prob2,3,31.42098987795606
T14_TimePhasedFocus,prob2,3,31.421585121690683
T14_TimePhasedFocus,prob2,4,31.421257336871516
T14_TimePhasedFocus,prob2,4,31.421283564809915
T14_TimePhasedFocus,prob2,4,31.421132093585513
T14_TimePhasedFocus,prob2,5,31.421228836614276
T14_TimePhasedFocus,prob2,5,31.42134184798945
T14_TimePhasedFocus,prob2,5,31.421362770116975
T14_TimePhasedFocus,prob2,6,31.42135880973387
T14_TimePhasedFocus,prob2,6,31.420923435298526
T14_TimePhasedFocus,prob2,6,31.42140966618357
T14_TimePhasedFocus,prob2,7,31.421235351741473
T14_TimePhasedFocus,prob2,7,31.42124693685931
T14_TimePhasedFocus,prob2,7,31.421005038481265
T14_TimePhasedFocus,prob2,8,31.421292443279704
T14_TimePhasedFocus,prob2,8,31.42131277831592
T14_TimePhasedFocus,prob2,8,31.421362093201086
T14_TimePhasedFocus,prob2,9,31.420971281304777
T14_TimePhasedFocus,prob2,9,31.421222990515055
T14_TimePhasedFocus,prob2,9,31.422182518481634
T14_TimePhasedFocus,prob2,10,31.421199276945476
T14_TimePhasedFocus,prob2,10,31.423185402265645
T14_TimePhasedFocus,prob2,10,31.421363752959195
T14_TimePhasedFocus,prob3,1,31.957848109110714
T14_TimePhasedFocus,prob3,1,30.73988022954479
T14_TimePhasedFocus,prob3,1,30.595297468213193
T14_TimePhasedFocus,prob3,2,31.033334681848807
T14_TimePhasedFocus,prob3,2,32.47311484050544
T14_TimePhasedFocus,prob3,2,31.319763045688816
T14_TimePhasedFocus,prob3,3,33.235595500549564
T14_TimePhasedFocus,prob3,3,32.11879495087084
T14_TimePhasedFocus,prob3,3,31.390234033549877
T14_TimePhasedFocus,prob3,4,32.67776369192618
T14_TimePhasedFocus,prob3,4,30.545137393732166
T14_TimePhasedFocus,prob3,4,29.55637232505494
T14_TimePhasedFocus,prob3,5,34.33859677706945
T14_TimePhasedFocus,prob3,5,32.66140574994705
T14_TimePhasedFocus,prob3,5,30.515231652584337
T14_TimePhasedFocus,prob3,6,30.164255131693412
T14_TimePhasedFocus,prob3,6,32.23082688370587
T14_TimePhasedFocus,prob3,6,29.76877726476088
T14_TimePhasedFocus,prob3,7,31.88322273168453
T14_TimePhasedFocus,prob3,7,32.949070116991074
T14_TimePhasedFocus,prob3,7,31.447014112775886
T14_TimePhasedFocus,prob3,8,30.41786274514119
T14_TimePhasedFocus,prob3,8,30.67248084344254
T14_TimePhasedFocus,prob3,8,31.53975244642871
T14_TimePhasedFocus,prob3,9,30.65489826506282
T14_TimePhasedFocus,prob3,9,31.47253420689774
T14_TimePhasedFocus,prob3,9,30.76054542839118
T14_TimePhasedFocus,prob3,10,30.633262489353978
T14_TimePhasedFocus,prob3,10,31.207908073214682
T14_TimePhasedFocus,prob3,10,32.91602531304839
T14_TimePhasedFocus,prob4,1,3051.162474847431
T14_TimePhasedFocus,prob4,1,95.66304403184421
T14_TimePhasedFocus,prob4,1,95.16152978555895
T14_TimePhasedFocus,prob4,2,1582.2516521299326
T14_TimePhasedFocus,prob4,2,95.2696376079525
T14_TimePhasedFocus,prob4,2,94.10933859871173
T14_TimePhasedFocus,prob4,3,95.19015095759613
T14_TimePhasedFocus,prob4,3,96.88714656771143
T14_TimePhasedFocus,prob4,3,2809.5048862552326
T14_TimePhasedFocus,prob4,4,95.37007226033046
T14_TimePhasedFocus,prob4,4,1520.3625052301277
T14_TimePhasedFocus,prob4,4,96.69704460226787
T14_TimePhasedFocus,prob4,5,96.49764838746762
T14_TimePhasedFocus,prob4,5,94.05907945458173
T14_TimePhasedFocus,prob4,5,1794.872279900385
T14_TimePhasedFocus,prob4,6,96.3625536399013
T14_TimePhasedFocus,prob4,6,94.54001628013432
T14_TimePhasedFocus,prob4,6,95.50076452370533
T14_TimePhasedFocus,prob4,7,94.86161455358769
T14_TimePhasedFocus,prob4,7,2966.4070549640282
T14_TimePhasedFocus,prob4,7,95.22488832710087
T14_TimePhasedFocus,prob4,8,95.07618799552607
T14_TimePhasedFocus,prob4,8,3037.3522113409917
T14_TimePhasedFocus,prob4,8,95.35528738997918
T14_TimePhasedFocus,prob4,9,97.85605019959584
T14_TimePhasedFocus,prob4,9,2143.5956525964693
T14_TimePhasedFocus,prob4,9,3862.8558778831075
T14_TimePhasedFocus,prob4,10,95.92589657503179
T14_TimePhasedFocus,prob4,10,283.83531272593694
T14_TimePhasedFocus,prob4,10,2980.68764205093
