Config,Algorithm,Problem,Run,Score
baseline,NBIPOP,prob3,3,29.490073685287044
baseline,NBIPOP,prob4,1,5465.986104973787
baseline,NBIPOP,prob4,2,5590.26969060288
baseline,NBIPOP,prob4,3,5776.286715671301
baseline,ALConstraint,prob1,1,36.38260578416002
baseline,ALConstraint,prob1,2,36.338072512903175
baseline,ALConstraint,prob1,3,37.36786845363095
baseline,ALConstraint,prob2,1,31.48094614474496
baseline,ALConstraint,prob2,2,31.485325549566117
baseline,ALConstraint,prob2,3,31.481426678621368
baseline,ALConstraint,prob3,1,31.759935265363158
baseline,ALConstraint,prob3,2,31.56120119426277
baseline,ALConstraint,prob3,3,31.454005953123126
baseline,ALConstraint,prob4,1,3121.6024573767513
baseline,ALConstraint,prob4,2,5851.0887749556605
baseline,ALConstraint,prob4,3,5760.3688414639355
baseline,RFSurrogate,prob1,1,37.36776226336092
baseline,RFSurrogate,prob1,2,37.36449901400442
baseline,RFSurrogate,prob1,3,43.690648247714115
baseline,RFSurrogate,prob2,1,31.480946144744486
baseline,RFSurrogate,prob2,2,31.480946144744657
baseline,RFSurrogate,prob2,3,31.480946642558976
baseline,RFSurrogate,prob3,1,28.234362253164353
baseline,RFSurrogate,prob3,2,28.226072414371572
baseline,RFSurrogate,prob3,3,28.578301679668577
baseline,RFSurrogate,prob4,1,5628.186463481822
baseline,RFSurrogate,prob4,2,5509.399626077632
baseline,RFSurrogate,prob4,3,5555.425442535216
baseline,Islands,prob1,1,36.357944162718915
baseline,Islands,prob1,2,36.34754105971373
baseline,Islands,prob1,3,37.3875235991991
baseline,Islands,prob2,1,31.48094614474444
baseline,Islands,prob2,2,31.480946144744433
baseline,Islands,prob2,3,31.480946144744532
baseline,Islands,prob3,1,28.651738029426873
baseline,Islands,prob3,2,31.14148839984746
baseline,Islands,prob3,3,28.434235781965864
baseline,Islands,prob4,1,5822.365911537974
baseline,Islands,prob4,2,5565.2170307702045
baseline,Islands,prob4,3,5791.226504603989
baseline,GridBIPOP,prob1,1,38.390210159795444
baseline,GridBIPOP,prob1,2,38.38970077629801
baseline,GridBIPOP,prob1,3,37.370802543900204
baseline,GridBIPOP,prob2,1,31.481013878197636
baseline,GridBIPOP,prob2,2,31.480946144744475
baseline,GridBIPOP,prob2,3,31.48094614474463
baseline,GridBIPOP,prob3,1,29.50452422284133
baseline,GridBIPOP,prob3,2,28.41390694145581
baseline,GridBIPOP,prob3,3,30.017853264732416
baseline,GridBIPOP,prob4,1,5779.969017332309
baseline,GridBIPOP,prob4,2,5769.246898402326
baseline,GridBIPOP,prob4,3,5555.908710007504
baseline,StochRank,prob1,1,37.362464530878356
baseline,StochRank,prob1,2,38.38945005987285
baseline,StochRank,prob1,3,37.356557410575356
baseline,StochRank,prob2,1,31.48105063697129
baseline,StochRank,prob2,2,31.480946144744706
baseline,StochRank,prob2,3,31.48094651056385
baseline,StochRank,prob3,1,28.319478891570025
baseline,StochRank,prob3,2,29.467501844194263
baseline,StochRank,prob3,3,28.39938090040838
baseline,StochRank,prob4,1,5439.374895662314
baseline,StochRank,prob4,2,3107.845026849478
baseline,StochRank,prob4,3,5458.64381273444
baseline,AStarRepair,prob1,1,38.39041262199412
baseline,AStarRepair,prob1,2,37.3727015599478
baseline,AStarRepair,prob1,3,37.36378061460494
baseline,AStarRepair,prob2,1,31.48094614475109
baseline,AStarRepair,prob2,2,31.48095984719796
baseline,AStarRepair,prob2,3,31.480946144744387
baseline,AStarRepair,prob3,1,28.23520526947536
baseline,AStarRepair,prob3,2,28.778182726034988
baseline,AStarRepair,prob3,3,31.096624907612828
baseline,AStarRepair,prob4,1,5848.114372226347
baseline,AStarRepair,prob4,2,5506.13266487533
baseline,AStarRepair,prob4,3,5427.8899222427535
baseline,SepWarmup,prob1,1,37.421475356475135
baseline,SepWarmup,prob1,2,37.35819915891769
baseline,SepWarmup,prob1,3,36.3414029701868
baseline,SepWarmup,prob2,1,31.48094678654334
baseline,SepWarmup,prob2,2,31.480957808987732
baseline,SepWarmup,prob2,3,31.488276085747522
baseline,SepWarmup,prob3,1,35.98028911857674
baseline,SepWarmup,prob3,2,30.690363692466637
baseline,SepWarmup,prob3,3,33.33481324719633
baseline,SepWarmup,prob4,1,5468.238223547485
baseline,SepWarmup,prob4,2,5418.860633641451
baseline,SepWarmup,prob4,3,5422.181990373512
baseline,OptiPathFinal,prob1,1,38.419418104216284
baseline,OptiPathFinal,prob1,2,37.39007422538784
baseline,OptiPathFinal,prob1,3,38.39084999797347
baseline,OptiPathFinal,prob2,1,31.481520224212172
baseline,OptiPathFinal,prob2,2,31.481010419348774
baseline,OptiPathFinal,prob2,3,31.48095178729625
baseline,OptiPathFinal,prob3,1,29.503312316550875
baseline,OptiPathFinal,prob3,2,29.48821792645737
baseline,OptiPathFinal,prob3,3,29.231436329532254
baseline,OptiPathFinal,prob4,1,5808.747881000427
baseline,OptiPathFinal,prob4,2,5559.057503730367
baseline,OptiPathFinal,prob4,3,5454.401501935742
margin3,CMAES,prob1,1,37.41231911403239
margin3,CMAES,prob1,2,36.345142771114666
margin3,CMAES,prob1,3,36.33638898731064
margin3,CMAES,prob2,1,31.42090223954696
margin3,CMAES,prob2,2,31.420929118218268
margin3,CMAES,prob2,3,31.420954078259484
margin3,CMAES,prob3,1,29.531170555753597
margin3,CMAES,prob3,2,28.226374179862134
margin3,CMAES,prob3,3,28.41994377491107
margin3,CMAES,prob4,1,4631.401456438207
margin3,CMAES,prob4,2,4589.8346619337635
margin3,CMAES,prob4,3,2295.2206571045463
margin3,DE,prob1,1,36.37228669541189
margin3,DE,prob1,2,36.43856396480741
margin3,DE,prob1,3,36.3755551243018
margin3,DE,prob2,1,31.421308003114294
margin3,DE,prob2,2,31.421196034310515
margin3,DE,prob2,3,31.422492785872787
margin3,DE,prob3,1,29.776241517913196
margin3,DE,prob3,2,28.49288355271947
margin3,DE,prob3,3,29.985767971192217
margin3,DE,prob4,1,4511.2748662740105
margin3,DE,prob4,2,4511.292345800103
margin3,DE,prob4,3,4555.2050728387985
margin3,GA,prob1,1,37.52612796221371
margin3,GA,prob1,2,36.45749151016991
margin3,GA,prob1,3,38.01227701373675
margin3,GA,prob2,1,31.49370264919772
margin3,GA,prob2,2,31.51090855390858
margin3,GA,prob2,3,31.464620622534788
margin3,GA,prob3,1,39.471275854595625
margin3,GA,prob3,2,30.846694924488244
margin3,GA,prob3,3,39.94842455194693
margin3,GA,prob4,1,4811.245917324079
margin3,GA,prob4,2,2283.969462920878
margin3,GA,prob4,3,4544.9324664954465
margin3,MultiSegment,prob1,1,37.36228295811589
margin3,MultiSegment,prob1,2,37.369105719970776
margin3,MultiSegment,prob1,3,36.520609785938994
margin3,MultiSegment,prob2,1,31.42091606703927
margin3,MultiSegment,prob2,2,31.420895944686116
margin3,MultiSegment,prob2,3,31.420884233420725
margin3,MultiSegment,prob3,1,28.222483669492703
margin3,MultiSegment,prob3,2,28.354139161006795
margin3,MultiSegment,prob3,3,29.52352339678468
margin3,MultiSegment,prob4,1,2296.66104034561
margin3,MultiSegment,prob4,2,2296.5347187036014
margin3,MultiSegment,prob4,3,4635.55679179651
margin3,BIPOP,prob1,1,36.3476585018937
margin3,BIPOP,prob1,2,37.37372552213743
margin3,BIPOP,prob1,3,36.32091550146405
margin3,BIPOP,prob2,1,31.420884411334093
margin3,BIPOP,prob2,2,31.4209746853408
margin3,BIPOP,prob2,3,31.42090681591854
margin3,BIPOP,prob3,1,28.220774011449908
margin3,BIPOP,prob3,2,28.718090534618604
margin3,BIPOP,prob3,3,28.221260469513958
