Strategy,Algorithm,Problem,Run,Score
ASTAR_PATH,CLPSO,prob1,2,36.64324722649031
ASTAR_PATH,CLPSO,prob1,3,36.547614712713674
ASTAR_PATH,CLPSO,prob2,1,31.65928668736881
ASTAR_PATH,CLPSO,prob2,2,31.69807421434395
ASTAR_PATH,CLPSO,prob2,3,31.739377782237195
ASTAR_PATH,CLPSO,prob3,1,34.10544093148926
ASTAR_PATH,CLPSO,prob3,2,32.560833616032674
ASTAR_PATH,CLPSO,prob3,3,32.31196831113466
ASTAR_PATH,CLPSO,prob4,1,5462.127592817476
ASTAR_PATH,CLPSO,prob4,2,5479.222066586467
ASTAR_PATH,CLPSO,prob4,3,5461.808916338175
RANDOM,CMAES,prob1,1,37.354492679875186
RANDOM,CMAES,prob1,2,38.38958839162542
RANDOM,CMAES,prob1,3,37.38774908838476
RANDOM,CMAES,prob2,1,31.480946144744355
RANDOM,CMAES,prob2,2,31.480948582300883
RANDOM,CMAES,prob2,3,31.48094614474461
RANDOM,CMAES,prob3,1,31.471648614826854
RANDOM,CMAES,prob3,2,30.22819384854399
RANDOM,CMAES,prob3,3,28.23544198089225
RANDOM,CMAES,prob4,1,3008.7713772828665
RANDOM,CMAES,prob4,2,3121.262670017572
RANDOM,CMAES,prob4,3,2919.6965794471666
RANDOM,DE,prob1,1,36.40956958536788
RANDOM,DE,prob1,2,36.731121328769426
RANDOM,DE,prob1,3,36.40421168430396
RANDOM,DE,prob2,1,31.440326221430745
RANDOM,DE,prob2,2,31.443990844363594
RANDOM,DE,prob2,3,31.44020374763777
RANDOM,DE,prob3,1,30.101847594368362
RANDOM,DE,prob3,2,29.804220284814132
RANDOM,DE,prob3,3,29.70634140784543
RANDOM,DE,prob4,1,5381.815983131354
RANDOM,DE,prob4,2,5382.52273087846
RANDOM,DE,prob4,3,5144.197072757468
RANDOM,GA,prob1,1,36.42338011579453
RANDOM,GA,prob1,2,37.504415572838006
RANDOM,GA,prob1,3,36.467278541593174
