Algorithm,Problem,Run,Score
SHADE,prob4,1,5767.947892555467
SHADE,prob4,2,5418.860147207216
SHADE,prob4,3,6496.14359647476
BipopAdaptif,prob1,1,37.35896765520297
BipopAdaptif,prob1,2,37.379730298010784
BipopAdaptif,prob1,3,38.390347212690465
BipopAdaptif,prob2,1,31.48094614474796
BipopAdaptif,prob2,2,31.48094644865319
BipopAdaptif,prob2,3,31.480946144744514
BipopAdaptif,prob3,1,29.006252395984685
BipopAdaptif,prob3,2,28.864761117339167
BipopAdaptif,prob3,3,29.542772466545156
BipopAdaptif,prob4,1,5740.99618119485
BipopAdaptif,prob4,2,5803.718804668326
BipopAdaptif,prob4,3,5468.211954899145
LMCMA,prob1,1,39.049741919167076
LMCMA,prob1,2,39.965581238191035
LMCMA,prob1,3,38.25091973184628
LMCMA,prob2,1,31.60457616473706
LMCMA,prob2,2,32.05319221666109
LMCMA,prob2,3,31.751598004113177
LMCMA,prob3,1,93.48716601406791
LMCMA,prob3,2,67.9920218116854
LMCMA,prob3,3,46.650152995426765
LMCMA,prob4,1,3183.754138653492
LMCMA,prob4,2,6362.3650176151405
LMCMA,prob4,3,5898.977431652426
AStarSeeds,prob1,1,36.32827873314314
AStarSeeds,prob1,2,36.35644405286079
AStarSeeds,prob1,3,36.40044614071591
AStarSeeds,prob2,1,31.480946144744617
AStarSeeds,prob2,2,31.48094614474474
AStarSeeds,prob2,3,31.480946144744305
AStarSeeds,prob3,1,29.74405545833316
AStarSeeds,prob3,2,28.446298573627384
AStarSeeds,prob3,3,28.577953153708574
AStarSeeds,prob4,1,5865.152236845926
AStarSeeds,prob4,2,5749.041205608422
AStarSeeds,prob4,3,5892.033885768226
NBIPOP,prob1,1,36.35978133026938
NBIPOP,prob1,2,38.390837175394836
NBIPOP,prob1,3,37.37786211591938
NBIPOP,prob2,1,31.480947387689273
NBIPOP,prob2,2,31.480946144744443
NBIPOP,prob2,3,31.48094614474458
NBIPOP,prob3,1,29.75309513150017
NBIPOP,prob3,2,30.10147619561229
NBIPOP,prob3,3,29.490073685287044
NBIPOP,prob4,1,5465.986104973787
NBIPOP,prob4,2,5590.26969060288
NBIPOP,prob4,3,5776.286715671301
ALConstraint,prob1,1,36.38260578416002
ALConstraint,prob1,2,36.338072512903175
ALConstraint,prob1,3,37.36786845363095
ALConstraint,prob2,1,31.48094614474496
ALConstraint,prob2,2,31.485325549566117
ALConstraint,prob2,3,31.481426678621368
ALConstraint,prob3,1,31.759935265363158
ALConstraint,prob3,2,31.56120119426277
ALConstraint,prob3,3,31.454005953123126
ALConstraint,prob4,1,3121.6024573767513
ALConstraint,prob4,2,5851.0887749556605
ALConstraint,prob4,3,5760.3688414639355
RFSurrogate,prob1,1,37.36776226336092
RFSurrogate,prob1,2,37.36449901400442
RFSurrogate,prob1,3,43.690648247714115
RFSurrogate,prob2,1,31.480946144744486
RFSurrogate,prob2,2,31.480946144744657
RFSurrogate,prob2,3,31.480946642558976
RFSurrogate,prob3,1,28.234362253164353
RFSurrogate,prob3,2,28.226072414371572
RFSurrogate,prob3,3,28.578301679668577
RFSurrogate,prob4,1,5628.186463481822
RFSurrogate,prob4,2,5509.399626077632
RFSurrogate,prob4,3,5555.425442535216
Islands,prob1,1,36.357944162718915
Islands,prob1,2,36.34754105971373
Islands,prob1,3,37.3875235991991
Islands,prob2,1,31.48094614474444
Islands,prob2,2,31.480946144744433
Islands,prob2,3,31.480946144744532
Islands,prob3,1,28.651738029426873
Islands,prob3,2,31.14148839984746
Islands,prob3,3,28.434235781965864
Islands,prob4,1,5822.365911537974
Islands,prob4,2,5565.2170307702045
Islands,prob4,3,5791.226504603989
GridBIPOP,prob1,1,38.390210159795444
GridBIPOP,prob2,1,31.481013878197636
GridBIPOP,prob3,1,29.50452422284133
GridBIPOP,prob4,1,5779.969017332309
StochRank,prob1,1,37.362464530878356
StochRank,prob2,1,31.48105063697129
StochRank,prob3,1,28.319478891570025
StochRank,prob4,1,5439.374895662314
AStarRepair,prob1,1,38.39041262199412
AStarRepair,prob2,1,31.48094614475109
AStarRepair,prob3,1,28.23520526947536
AStarRepair,prob4,1,5848.114372226347
SepWarmup,prob1,1,37.421475356475135
SepWarmup,prob2,1,31.48094678654334
SepWarmup,prob3,1,35.98028911857674
SepWarmup,prob4,1,5468.238223547485
GridBIPOP,prob1,2,38.38970077629801
GridBIPOP,prob1,3,37.370802543900204
GridBIPOP,prob2,2,31.480946144744475
GridBIPOP,prob2,3,31.48094614474463
GridBIPOP,prob3,2,28.41390694145581
GridBIPOP,prob3,3,30.017853264732416
GridBIPOP,prob4,2,5769.246898402326
GridBIPOP,prob4,3,5555.908710007504
StochRank,prob1,2,38.38945005987285
StochRank,prob1,3,37.356557410575356
StochRank,prob2,2,31.480946144744706
StochRank,prob2,3,31.48094651056385
StochRank,prob3,2,29.467501844194263
StochRank,prob3,3,28.39938090040838
StochRank,prob4,2,3107.845026849478
StochRank,prob4,3,5458.64381273444
AStarRepair,prob1,2,37.3727015599478
AStarRepair,prob1,3,37.36378061460494
AStarRepair,prob2,2,31.48095984719796
AStarRepair,prob2,3,31.480946144744387
AStarRepair,prob3,2,28.778182726034988
AStarRepair,prob3,3,31.096624907612828
AStarRepair,prob4,2,5506.13266487533
AStarRepair,prob4,3,5427.8899222427535
SepWarmup,prob1,2,37.35819915891769
SepWarmup,prob1,3,36.3414029701868
SepWarmup,prob2,2,31.480957808987732
SepWarmup,prob2,3,31.488276085747522
SepWarmup,prob3,2,30.690363692466637
SepWarmup,prob3,3,33.33481324719633
SepWarmup,prob4,2,5418.860633641451
SepWarmup,prob4,3,5422.181990373512
OptiPathFinal,prob1,1,38.419418104216284
OptiPathFinal,prob1,2,37.39007422538784
OptiPathFinal,prob1,3,38.39084999797347
OptiPathFinal,prob2,1,31.481520224212172
OptiPathFinal,prob2,2,31.481010419348774
OptiPathFinal,prob2,3,31.48095178729625
OptiPathFinal,prob3,1,29.503312316550875
OptiPathFinal,prob3,2,29.48821792645737
OptiPathFinal,prob3,3,29.231436329532254
OptiPathFinal,prob4,1,5808.747881000427
OptiPathFinal,prob4,2,5559.057503730367
OptiPathFinal,prob4,3,5454.401501935742
PSO,prob1,1,37.95310920565817
PSO,prob1,2,36.761579896119535
PSO,prob1,3,36.89330423288406
PSO,prob2,1,31.452766884713043
PSO,prob2,2,31.5839178540964
PSO,prob2,3,31.45988025125196
PSO,prob3,1,46.74323128659817
PSO,prob3,2,48.195873383190715
PSO,prob3,3,45.97768376379966
PSO,prob4,1,2586.989263053413
PSO,prob4,2,3441.4409044403073
PSO,prob4,3,2321.4474272334132
FPSO,prob1,1,37.09039858278348
FPSO,prob1,2,38.01114362886523
FPSO,prob1,3,36.89260480226412
FPSO,prob2,1,31.705703633438628
FPSO,prob2,2,31.731564004415997
FPSO,prob2,3,31.69399127874466
FPSO,prob3,1,46.56368945562371
FPSO,prob3,2,49.87915249511725
FPSO,prob3,3,52.92806187450596
FPSO,prob4,1,2652.431835139781
FPSO,prob4,2,4233.353689449166
FPSO,prob4,3,3821.8044183060456
