idx,x,y
194,5.9196786717,23.1106870108
195,5.9499024244,23.0891868390
196,5.9798362695,23.0667574353
197,6.0094808292,23.0434058410
198,6.0388367940,23.0191390943
199,6.0679049209,22.9939642299
200,6.0966860330,22.9678882792
201,6.1251810181,22.9409182701
202,6.1533908278,22.9130612268
203,6.1813164760,22.8843241698
204,6.2089590385,22.8547141160
205,6.2363196513,22.8242380780
206,6.2633995100,22.7929030646
207,6.2901998686,22.7607160806
208,6.3167220382,22.7276841262
209,6.3429673864,22.6938141977
210,6.3689373360,22.6591132867
211,6.3946333642,22.6235883803
212,6.4200570011,22.5872464611
213,6.4452098293,22.5500945068
214,6.4700934825,22.5121394904
215,6.4947096446,22.4733883798
216,6.5190600486,22.4338481380
217,6.5431464759,22.3935257230
218,6.5669707552,22.3524280871
219,6.5905347611,22.3105621777
220,6.6138404138,22.2679349367
221,6.6368896779,22.2245533001
222,6.6596845610,22.1804241988
223,6.6822271135,22.1355545574
224,6.7045194270,22.0899512952
225,6.7265636338,22.0436213250
226,6.7483619057,21.9965715540
227,6.7699164532,21.9488088830
228,6.7912295246,21.9003402068
229,6.8123034051,21.8511724135
230,6.8331404156,21.8013123851
231,6.8537429121,21.7507669968
232,6.8741132849,21.6995431173
233,6.8942539574,21.6476476085
234,6.9141673854,21.5950873256
235,6.9338560561,21.5418691166
236,6.9533224874,21.4879998228
237,6.9725692269,21.4334862780
238,6.9915988511,21.3783353089
239,7.0104139646,21.3225537352
240,7.0290171989,21.2661483686
241,7.0474112123,21.2091260138
242,7.0655986882,21.1514934674
243,7.0835823349,21.0932575188
244,7.1013648845,21.0344249492
245,7.1189490922,20.9750025320
246,7.1363377354,20.9149970327
247,7.1535336129,20.8544152085
248,7.1705395442,20.7932638087
249,7.1873583687,20.7315495740
250,7.2039929447,20.6692792369
251,7.2204461489,20.6064595215
252,7.2367208756,20.5430971431
253,7.2528200357,20.4791988085
254,7.2687465562,20.4147712157
255,7.2845033793,20.3498210540
256,7.3000934617,20.2843550034
257,7.3155197739,20.2183797353
258,7.3307852994,20.1519019116
259,7.3458930340,20.0849281854
260,7.3608459852,20.0174652000
261,7.3756471711,19.9495195898
262,7.3902996203,19.8810979794
263,7.4048063704,19.8122069838
264,7.4191704684,19.7428532086
265,7.4333949687,19.6730432495
266,7.4474829336,19.6027836922
267,7.4614374318,19.5320811128
268,7.4752615384,19.4609420771
269,7.4889583334,19.3893731410
270,7.5025309019,19.3173808500
271,7.5159823329,19.2449717395
